1678-04-01,1678-05-20
1678-04-02,1678-05-21
1678-04-03,1678-05-22
1678-04-04,1678-05-23
1678-04-05,1678-05-24
1678-04-06,1678-05-25
1678-04-07,1678-05-26
1678-04-08,1678-05-27
1678-04-09,1678-05-28
1678-04-10,1678-05-29
1678-04-11,1678-05-30
1678-04-12,1678-05-31
1678-04-13,1678-06-01
1678-04-14,1678-06-02
1678-04-15,1678-06-03
1678-04-16,1678-06-04
1678-04-17,1678-06-05
1678-04-18,1678-06-06
1678-04-19,1678-06-07
1678-04-20,1678-06-08
1678-04-21,1678-06-09
1678-04-22,1678-06-10
1678-04-23,1678-06-11
1678-04-24,1678-06-12
1678-04-25,1678-06-13
1678-04-26,1678-06-14
1678-04-27,1678-06-15
1678-04-28,1678-06-16
1678-04-29,1678-06-17
1678-04-30,1678-06-18
