2019-08-01,2019-07-01
2019-08-02,2019-07-02
2019-08-03,2019-07-03
2019-08-04,2019-07-04
2019-08-05,2019-07-05
2019-08-06,2019-07-06
2019-08-07,2019-07-07
2019-08-08,2019-07-08
2019-08-09,2019-07-09
2019-08-10,2019-07-10
2019-08-11,2019-07-11
2019-08-12,2019-07-12
2019-08-13,2019-07-13
2019-08-14,2019-07-14
2019-08-15,2019-07-15
2019-08-16,2019-07-16
2019-08-17,2019-07-17
2019-08-18,2019-07-18
2019-08-19,2019-07-19
2019-08-20,2019-07-20
2019-08-21,2019-07-21
2019-08-22,2019-07-22
2019-08-23,2019-07-23
2019-08-24,2019-07-24
2019-08-25,2019-07-25
2019-08-26,2019-07-26
2019-08-27,2019-07-27
2019-08-28,2019-07-28
2019-08-29,2019-07-29
2019-08-30,2019-08-01
2019-08-31,2019-08-02
