1997-03-01,1997-01-22
1997-03-02,1997-01-23
1997-03-03,1997-01-24
1997-03-04,1997-01-25
1997-03-05,1997-01-26
1997-03-06,1997-01-27
1997-03-07,1997-01-28
1997-03-08,1997-01-29
1997-03-09,1997-02-01
1997-03-10,1997-02-02
1997-03-11,1997-02-03
1997-03-12,1997-02-04
1997-03-13,1997-02-05
1997-03-14,1997-02-06
1997-03-15,1997-02-07
1997-03-16,1997-02-08
1997-03-17,1997-02-09
1997-03-18,1997-02-10
1997-03-19,1997-02-11
1997-03-20,1997-02-12
1997-03-21,1997-02-13
1997-03-22,1997-02-14
1997-03-23,1997-02-15
1997-03-24,1997-02-16
1997-03-25,1997-02-17
1997-03-26,1997-02-18
1997-03-27,1997-02-19
1997-03-28,1997-02-20
1997-03-29,1997-02-21
1997-03-30,1997-02-22
1997-03-31,1997-02-23
