2005-04-01,2005-02-23
2005-04-02,2005-02-24
2005-04-03,2005-02-25
2005-04-04,2005-02-26
2005-04-05,2005-02-27
2005-04-06,2005-02-28
2005-04-07,2005-02-29
2005-04-08,2005-02-30
2005-04-09,2005-03-01
2005-04-10,2005-03-02
2005-04-11,2005-03-03
2005-04-12,2005-03-04
2005-04-13,2005-03-05
2005-04-14,2005-03-06
2005-04-15,2005-03-07
2005-04-16,2005-03-08
2005-04-17,2005-03-09
2005-04-18,2005-03-10
2005-04-19,2005-03-11
2005-04-20,2005-03-12
2005-04-21,2005-03-13
2005-04-22,2005-03-14
2005-04-23,2005-03-15
2005-04-24,2005-03-16
2005-04-25,2005-03-17
2005-04-26,2005-03-18
2005-04-27,2005-03-19
2005-04-28,2005-03-20
2005-04-29,2005-03-21
2005-04-30,2005-03-22
